fetch_utc	label	lp_http	lp_calllimit_remaining	sb_calllimit_remaining	lp_bytes	lp_etag	lp_status	lp_period	lp_clock	lp_possession	lp_down	lp_distance	lp_yardsToGoal	lp_plays	lp_last_play	lp_last_clock	lp_last_wallClock	sb_status	sb_period	sb_clock	sb_possession	sb_situation	sb_lastPlay	sb_score_away_home
20260925T024726Z	r21	200	74772	74773	71792	W/"11870-u8AndO+6zNWihCt30wqKMrIN2qY"	In Progress	4	12:06	Liberty	1	10	75	143	Kickoff	12:06	2026-09-25T02:43:18.000Z	in_progress	4	12:06	None	None	(C. Reeves KICK)	27-17
20260925T025427Z	r22	200	74771	74772	75119	W/"1256f-eBjsN+kMz+iht++l0/6EOmJjmms"	In Progress	4	9:48	Coastal Carolina	1	10	62	150	Punt Return	9:48	2026-09-25T02:52:52.000Z	in_progress	4	09:48	home	3rd & 32 at CCU 14	(10:01) Shotgun #2 D.Bailey pass incomplete short left to #5 G.Lawrence PENALTY CCU Illega	27-17
20260925T030129Z	r23	200	74770	74771	76793	W/"12bf9-a5e1CHZDb6/IYC9yeGvFpwTZzYY"	In Progress	4	7:49	Liberty	2	4	60	153	Fumble	8:30	2026-09-25T02:57:29.000Z	in_progress	4	07:49	away	2nd & 4 at CCU 40	(08:30) No Huddle-Shotgun #7 P.Jones rush middle for 6 yards gain to the CCU40 (#4 M.Pulli	27-17
20260925T030831Z	r24	200	74769	74770	79517	W/"1369d-kvSChmeVpd0o6gOaruhGscKoBFk"	In Progress	4	5:52	Coastal Carolina	1	10	82	158	Punt	5:52	2026-09-25T03:05:35.000Z	in_progress	4	07:49	away	2nd & 4 at CCU 40	(08:30) No Huddle-Shotgun #7 P.Jones rush middle for 6 yards gain to the CCU40 (#4 M.Pulli	27-17
20260925T031531Z	r25	200	74768	74769	83267	W/"14543-c7/mjcVefzOA7UaRDjH/eatMSj8"	In Progress	4	3:35	Coastal Carolina	3	8	70	165	Pass Reception	3:57	2026-09-25T03:14:28.000Z	in_progress	4	04:06	home	1st & 10 at CCU 28	(04:15) #49 S.Crossan punt 54 yards to the CCU28 fair catch by #1 R.Washington at CCU28	27-17
20260925T032232Z	r26	200	74767	74768	86419	W/"15193-BnxGQ7b9Y7GuivYFrFxFQJjz4No"	In Progress	4	1:59	Coastal Carolina	1	10	75	172	Sack	1:59	2026-09-25T03:20:26.000Z	in_progress	4	01:59	away	1st & 10 at CCU 40	(01:59) Shotgun #2 D.Bailey pass incomplete short middle thrown to CCU25, TURNOVER ON DOWN	27-17
20260925T032933Z	r27	200	74766	74767	88718	W/"15a8e-/V8WErsMLdPxpQRw0FAASj/KGw4"	In Progress	4	1:02	Liberty	-1	0	0	176	Passing Touchdown	1:02	2026-09-25T03:27:18.000Z	in_progress	4	01:02	None	None	(T. Black KICK)	34-17
20260925T033633Z	r28	200	74765	74766	91437	W/"1652d-HYBsZn7XKbxRgc+LeJdOep2SrZ8"	In Progress	4	0:00	Liberty	2	10	53	181	End of Game	0:00	2026-09-25T03:35:15.000Z	in_progress	4	00:00	away	None	End of 4th quarter.	34-17
20260925T034334Z	r29	200	74764	74765	91436	W/"1652c-vRab+OjrIwYOEQNsKbrB5Pyo+qE"	Final	None			None	None	None	181	End of Game	0:00	2026-09-25T03:35:15.000Z	completed	None	None	None	None	End of 4th quarter.	34-17
20260925T035850Z	post15-inm	304	74763	74764	0	W/"1652c-vRab+OjrIwYOEQNsKbrB5Pyo+qE"	(304, no body)											completed	None	None	None	None	End of 4th quarter.	34-17
